label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels	cell
1.0	0.0	89.0	0.0	80.0	6.0	100.0	56.0	infected
2.0	925.0	72.0	914.0	67.0	930.0	134.0	535.0	infected
3.0	816.0	592.0	806.0	577.0	824.0	606.0	363.0	control
4.0	225.0	5.0	212.0	0.0	238.0	12.0	236.0	infected
5.0	113.0	1010.0	79.0	988.0	155.0	1024.0	1771.0	infected
6.0	8.0	874.0	0.0	853.0	20.0	898.0	617.0	infected
7.0	322.0	237.0	313.0	225.0	337.0	242.0	149.0	control
8.0	0.0	659.0	0.0	657.0	12.0	690.0	199.0	infected
9.0	3.0	463.0	0.0	453.0	18.0	481.0	257.0	infected
10.0	203.0	257.0	188.0	253.0	210.0	263.0	101.0	infected
11.0	4.0	897.0	0.0	888.0	12.0	906.0	154.0	infected
12.0	923.0	1017.0	913.0	1007.0	930.0	1024.0	192.0	control
13.0	528.0	469.0	495.0	444.0	556.0	502.0	2153.0	control
14.0	448.0	606.0	439.0	595.0	468.0	627.0	401.0	infected
15.0	914.0	350.0	897.0	338.0	930.0	362.0	537.0	control
16.0	159.0	258.0	146.0	245.0	174.0	266.0	344.0	infected
17.0	45.0	613.0	41.0	600.0	61.0	633.0	241.0	control
18.0	574.0	1020.0	548.0	1007.0	602.0	1024.0	533.0	infected
19.0	12.0	658.0	0.0	645.0	26.0	676.0	615.0	infected
20.0	878.0	398.0	864.0	386.0	883.0	409.0	187.0	infected
21.0	377.0	1017.0	364.0	1010.0	391.0	1024.0	284.0	infected
22.0	56.0	849.0	38.0	828.0	72.0	868.0	557.0	infected
23.0	5.0	126.0	0.0	107.0	16.0	145.0	371.0	infected
24.0	326.0	219.0	305.0	202.0	344.0	238.0	737.0	control
25.0	918.0	517.0	905.0	498.0	930.0	536.0	825.0	infected
26.0	20.0	1019.0	0.0	1007.0	40.0	1024.0	452.0	infected
27.0	862.0	1011.0	831.0	992.0	894.0	1024.0	1251.0	infected
28.0	190.0	268.0	174.0	260.0	206.0	277.0	431.0	infected
29.0	925.0	369.0	916.0	357.0	930.0	382.0	200.0	infected
30.0	802.0	572.0	785.0	563.0	816.0	589.0	435.0	infected
31.0	712.0	221.0	694.0	202.0	732.0	238.0	796.0	infected
32.0	799.0	608.0	791.0	600.0	809.0	618.0	240.0	control
33.0	700.0	653.0	691.0	636.0	711.0	671.0	473.0	infected
34.0	792.0	1013.0	743.0	969.0	847.0	1024.0	2687.0	infected
35.0	29.0	404.0	18.0	382.0	49.0	425.0	826.0	infected
36.0	161.0	499.0	142.0	488.0	180.0	515.0	524.0	control
37.0	672.0	579.0	651.0	547.0	705.0	607.0	1111.0	infected
38.0	11.0	113.0	0.0	96.0	24.0	126.0	402.0	infected
39.0	668.0	1009.0	622.0	992.0	715.0	1024.0	2295.0	control
40.0	234.0	572.0	221.0	555.0	255.0	582.0	541.0	infected
41.0	375.0	661.0	361.0	652.0	393.0	674.0	395.0	infected
42.0	831.0	409.0	812.0	392.0	855.0	426.0	713.0	infected
43.0	736.0	1020.0	695.0	998.0	774.0	1024.0	1259.0	control
44.0	774.0	561.0	752.0	549.0	797.0	577.0	809.0	infected
45.0	798.0	589.0	789.0	578.0	808.0	603.0	333.0	infected
46.0	189.0	215.0	164.0	196.0	226.0	246.0	1379.0	infected
47.0	209.0	1009.0	178.0	987.0	237.0	1024.0	1387.0	infected
